,Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO,Away_Win_Prob,Home_Win_Prob,Away_Decimal_Odds,Home_Decimal_Odds
"36,5",2021-11-02,Nashville Predators,0,Calgary Flames,0,0,0,0,1525.5450930589127,1486.0150445429372,0.5236441018767461,0.47635589812325385,1.909694000975069,2.099270742610301
"36,6",2021-11-02,New York Rangers,0,Vancouver Canucks,0,0,0,0,1498.72892578367,1467.6595878991968,0.5115935663545016,0.4884064336454984,1.9546766530427084,2.047475076312842
"36,7",2021-11-02,New Jersey Devils,0,Anaheim Ducks,0,0,0,0,1448.378720253926,1442.9768930537132,0.4747732279074265,0.5252267720925735,2.106268722032879,1.9039395041038496
"36,8",2021-11-02,Buffalo Sabres,0,San Jose Sharks,0,0,0,0,1440.654305177491,1449.8109709182972,0.453825548849879,0.546174451150121,2.203489870797887,1.8309168396548468
"37,0",2021-11-03,Carolina Hurricanes,0,Chicago Blackhawks,0,0,0,0,1534.974071024255,1471.1529819944997,0.5578266421330083,0.44217335786699175,1.7926716375112823,2.2615564285101177
"37,1",2021-11-03,Nashville Predators,0,Edmonton Oilers,0,0,1,0,1525.5450930589127,1524.6453623512457,0.36829481367756434,0.6317051863224357,2.7152160792453692,1.5830169225325608
"37,2",2021-11-03,Columbus Blue Jackets,0,Colorado Avalanche,0,0,0,0,1442.0952561020642,1562.216140913711,0.30070583367306625,0.6992941663269338,3.325509145549937,1.4300133594028588
"37,3",2021-11-03,St. Louis Blues,0,Los Angeles Kings,0,0,0,0,1485.2672940343534,1452.730493774311,0.5136878147502713,0.48631218524972875,1.9467076525577094,2.056292296041245
"38,0",2021-11-04,Detroit Red Wings,0,Boston Bruins,0,0,0,0,1452.5229031169015,1536.007565604796,0.3491160382008639,0.6508839617991361,2.8643771427786713,1.5363721626138358
"38,1",2021-11-04,Tampa Bay Lightning,0,Toronto Maple Leafs,0,0,0,0,1563.1276521234515,1521.7383346071497,0.5262838389564617,0.4737161610435383,1.9001153483695095,2.1109687239656827
"38,2",2021-11-04,New York Islanders,0,Montréal Canadiens,0,0,0,0,1541.52762789748,1524.338485276843,0.4917170013370079,0.5082829986629921,2.0336901048386373,1.9674079255659542
"38,3",2021-11-04,Vegas Golden Knights,0,Ottawa Senators,0,0,0,0,1559.7569702625942,1486.7316160132636,0.5705712411374326,0.4294287588625674,1.7526295191578567,2.3286749649667406
"38,4",2021-11-04,Washington Capitals,0,Florida Panthers,0,0,0,0,1536.1204106113955,1545.9482247731423,0.45286040951904605,0.547139590480954,2.2081859641076504,1.827687152232882
"38,5",2021-11-04,Philadelphia Flyers,0,Pittsburgh Penguins,0,0,0,0,1471.1582078374126,1540.7279677509364,0.3681980459509864,0.6318019540490136,2.715929676968241,1.5827744653072449
