Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO
2021-02-07,Carolina Hurricanes,6,Columbus Blue Jackets,5,1,0,0,1537.7441857509418,1482.1161179669582
2021-02-07,Chicago Blackhawks,2,Dallas Stars,1,1,0,0,1482.7582645654863,1503.089481865715
2021-02-07,Detroit Red Wings,4,Florida Panthers,1,3,0,0,1453.1725304517745,1515.360037035238
2021-02-07,Los Angeles Kings,3,Vegas Golden Knights,4,1,0,0,1465.7153269767239,1531.549786278147
2021-02-07,Philadelphia Flyers,7,Washington Capitals,4,3,0,0,1519.426260004225,1496.0163088947918
2021-02-08,Carolina Hurricanes,2,Columbus Blue Jackets,3,1,1,1,1529.0021363748867,1490.8581673430133
2021-02-08,Tampa Bay Lightning,4,Nashville Predators,1,3,0,0,1540.2633980882094,1485.4959842756766
2021-02-08,New York Islanders,2,New York Rangers,0,2,0,0,1495.6158344795485,1478.6112434584718
2021-02-08,Edmonton Oilers,3,Ottawa Senators,1,2,0,0,1500.9994715021492,1434.6671820207498
2021-02-08,Arizona Coyotes,4,St. Louis Blues,3,1,0,0,1506.2901021405416,1500.97966433184
2021-02-08,Vancouver Canucks,1,Toronto Maple Leafs,3,2,0,0,1474.3488241149482,1547.9482747977174
2021-02-09,Winnipeg Jets,2,Calgary Flames,3,1,0,0,1512.156383661941,1504.0575927351435
2021-02-09,Chicago Blackhawks,2,Dallas Stars,1,1,0,0,1491.7538745126772,1494.0938719185242
2021-02-09,Detroit Red Wings,1,Florida Panthers,2,1,0,0,1447.1173524795718,1521.4152150074408
2021-02-09,San Jose Sharks,4,Los Angeles Kings,3,1,0,0,1497.4992453555499,1457.7345588432345
2021-02-09,Tampa Bay Lightning,6,Nashville Predators,1,5,1,1,1547.5406740971562,1478.21870826673
2021-02-09,Edmonton Oilers,3,Ottawa Senators,2,1,1,1,1508.0184050118055,1427.6482485110935
2021-02-09,Anaheim Ducks,4,Vegas Golden Knights,5,1,0,0,1471.4742739098251,1537.7920553761128
2021-02-10,Toronto Maple Leafs,4,Montreal Canadiens,2,2,0,0,1555.9674923601324,1517.803053604936
2021-02-10,Boston Bruins,3,New York Rangers,2,1,0,0,1548.4342897576023,1471.5120241016537
2021-02-11,Columbus Blue Jackets,6,Chicago Blackhawks,5,1,0,0,1499.4067917170867,1483.2052501386038
2021-02-11,Carolina Hurricanes,5,Dallas Stars,3,2,0,0,1536.729037775504,1486.366970517907
2021-02-11,Tampa Bay Lightning,2,Florida Panthers,5,3,0,0,1539.4682444152613,1529.4876446893356
2021-02-11,San Jose Sharks,2,Los Angeles Kings,6,4,0,0,1489.1156067347567,1466.1181974640276
2021-02-11,Edmonton Oilers,3,Montreal Canadiens,0,3,0,1,1515.1716453269214,1510.64981328982
2021-02-11,Detroit Red Wings,2,Nashville Predators,3,1,0,0,1440.3595809104281,1484.9764798358735
2021-02-11,Pittsburgh Penguins,4,New York Islanders,3,1,0,0,1500.9397457531572,1487.0123210930035
2021-02-11,Calgary Flames,3,Vancouver Canucks,1,2,0,0,1511.903185442195,1466.5032314078967
2021-02-11,Anaheim Ducks,1,Vegas Golden Knights,0,1,0,0,1481.511018224915,1527.755311061023
2021-02-11,Ottawa Senators,1,Winnipeg Jets,5,4,0,0,1422.0846327476627,1517.7199994253717
2021-02-12,St. Louis Blues,4,Arizona Coyotes,1,3,0,0,1509.6299321598963,1497.6398343124854
2021-02-12,Boston Bruins,1,New York Rangers,0,1,0,0,1555.219472971629,1464.7268408876268
2021-02-13,St. Louis Blues,5,Arizona Coyotes,4,1,1,1,1517.881959502914,1489.3878069694676
2021-02-13,Columbus Blue Jackets,2,Chicago Blackhawks,3,1,0,0,1491.5620076059577,1491.0500342497328
2021-02-13,Carolina Hurricanes,4,Dallas Stars,3,1,0,0,1544.1054625149893,1478.9905457784216
2021-02-13,Tampa Bay Lightning,6,Florida Panthers,1,5,0,0,1547.7664958072828,1521.1893932973142
2021-02-13,Detroit Red Wings,4,Nashville Predators,2,2,0,0,1449.9093126388152,1475.4267481074864
2021-02-13,Boston Bruins,2,New York Islanders,4,2,1,0,1547.7968150280833,1494.4349790365493
2021-02-13,Vegas Golden Knights,3,San Jose Sharks,1,2,0,0,1535.3972490828705,1481.473668712909
2021-02-13,Montreal Canadiens,2,Toronto Maple Leafs,1,1,0,0,1520.215413764709,1546.4018918852435
2021-02-13,Calgary Flames,1,Vancouver Canucks,3,2,0,0,1503.3917224421455,1475.0146944079463
2021-02-13,Ottawa Senators,2,Winnipeg Jets,1,1,0,0,1432.7607376587737,1507.0438945142607
2021-02-14,Washington Capitals,3,Pittsburgh Penguins,6,3,0,0,1488.657667630152,1508.298387017797
2021-02-14,Colorado Avalanche,0,Vegas Golden Knights,1,1,0,1,1514.708451916671,1544.1955675341078
2021-02-15,St. Louis Blues,0,Arizona Coyotes,1,1,0,0,1509.755324448764,1497.5144420236177
2021-02-15,New York Islanders,3,Buffalo Sabres,1,2,0,0,1502.73310652499,1476.1508663139193
2021-02-15,Columbus Blue Jackets,3,Carolina Hurricanes,7,4,0,0,1485.2907253475285,1550.3767447734185
2021-02-15,Chicago Blackhawks,3,Detroit Red Wings,2,1,0,0,1498.6351369650224,1442.3242099235256
2021-02-15,Winnipeg Jets,6,Edmonton Oilers,5,1,0,0,1515.7590087608544,1506.4565310803277
2021-02-15,Anaheim Ducks,2,San Jose Sharks,3,1,0,0,1474.0381582206226,1488.9465287172015
2021-02-15,Florida Panthers,6,Tampa Bay Lightning,4,2,0,0,1530.3281628577886,1538.6277262468084
2021-02-15,Ottawa Senators,6,Toronto Maple Leafs,5,1,0,0,1443.8159342516406,1535.3466952923766
2021-02-15,Calgary Flames,4,Vancouver Canucks,3,1,0,0,1511.2677662945405,1467.1386505555513
2021-02-16,New York Islanders,3,Buffalo Sabres,0,3,1,1,1510.6502193542485,1468.2337534846608
2021-02-16,Minnesota Wild,0,Los Angeles Kings,4,4,0,0,1496.3660539924758,1474.4754731465396
2021-02-16,New Jersey Devils,5,New York Rangers,2,3,0,0,1500.1065487926192,1456.830348688214
2021-02-16,Washington Capitals,3,Pittsburgh Penguins,1,2,0,0,1497.6374307760589,1499.3186238718902
2021-02-16,Colorado Avalanche,3,Vegas Golden Knights,2,1,0,0,1523.9137923217015,1534.9902271290773
2021-02-17,Florida Panthers,4,Carolina Hurricanes,3,1,0,0,1539.317286812392,1541.387620818815
2021-02-17,Vancouver Canucks,5,Calgary Flames,1,4,0,0,1476.677331891408,1501.7290849586839
2021-02-17,Chicago Blackhawks,2,Detroit Red Wings,0,2,0,0,1505.8777652596066,1435.0815816289414
2021-02-17,Winnipeg Jets,2,Edmonton Oilers,3,1,0,0,1508.0728624667172,1514.142677374465
2021-02-17,Ottawa Senators,1,Toronto Maple Leafs,2,1,0,0,1438.404066400487,1540.7585631435302
2021-02-18,Minnesota Wild,3,Anaheim Ducks,1,2,0,0,1504.3806417908193,1466.0235704222791
2021-02-18,Los Angeles Kings,3,Arizona Coyotes,2,1,0,0,1483.533188812832,1488.4567263573254
2021-02-18,New Jersey Devils,3,Boston Bruins,2,1,0,0,1509.7258127361167,1538.1775510845857
2021-02-18,Nashville Predators,0,Columbus Blue Jackets,3,3,0,0,1468.181813572471,1492.535659882544
2021-02-18,New York Rangers,3,Philadelphia Flyers,2,1,0,0,1466.784277726502,1509.4723309659369
2021-02-18,New York Islanders,1,Pittsburgh Penguins,4,3,0,0,1502.917392202989,1507.0514510231496
2021-02-18,San Jose Sharks,2,St. Louis Blues,3,1,0,0,1481.953096856231,1516.7487563097345
2021-02-18,Ottawa Senators,3,Toronto Maple Leafs,7,4,1,1,1433.222970915034,1545.9396586289831
2021-02-18,Buffalo Sabres,1,Washington Capitals,3,2,0,0,1461.4371863850636,1504.4339978756561
2021-02-19,Chicago Blackhawks,3,Carolina Hurricanes,5,2,0,0,1499.2205747128414,1548.0448113655802
2021-02-19,Edmonton Oilers,2,Calgary Flames,1,1,0,0,1522.3849654132398,1493.486796919909
2021-02-19,Florida Panthers,7,Detroit Red Wings,2,5,0,0,1545.5146799320096,1428.8841885093238
2021-02-19,Winnipeg Jets,2,Vancouver Canucks,0,2,0,0,1515.8799149108238,1468.8702794473013
2021-02-20,Minnesota Wild,5,Anaheim Ducks,1,4,0,0,1512.029008421031,1458.3752037920674
2021-02-20,Los Angeles Kings,4,Arizona Coyotes,2,2,0,0,1492.1745498661105,1479.8153653040467
2021-02-20,Tampa Bay Lightning,0,Carolina Hurricanes,4,4,0,1,1529.772509560449,1556.9000280519397
2021-02-20,Nashville Predators,4,Columbus Blue Jackets,2,2,0,0,1477.2696649734683,1483.4478084815466
2021-02-20,Vegas Golden Knights,2,Colorado Avalanche,3,1,0,0,1527.2632691636363,1531.6407502871425
2021-02-20,Florida Panthers,1,Detroit Red Wings,2,1,1,1,1535.4536897099094,1438.945178731424
2021-02-20,Calgary Flames,1,Edmonton Oilers,7,6,1,1,1486.6786716098904,1529.1930907232584
2021-02-20,Toronto Maple Leafs,5,Montreal Canadiens,3,2,0,0,1553.8764159983152,1512.2786563953769
2021-02-20,Buffalo Sabres,3,New Jersey Devils,2,1,0,0,1471.0699685257196,1500.0930305954607
2021-02-20,New York Islanders,2,Pittsburgh Penguins,3,1,0,0,1495.5405779329992,1514.4282652931395
2021-02-20,San Jose Sharks,5,St. Louis Blues,4,1,0,0,1491.2796285459062,1507.4222246200593
2021-02-20,New York Rangers,4,Washington Capitals,1,3,0,0,1476.175817064938,1495.0424585372202
