,Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO,Away_Win_Prob,Home_Win_Prob
"31,7",2021-10-28,Winnipeg Jets,0,Los Angeles Kings,0,0,0,0,1500.0379988005302,1452.730493774311,0.5346633272916388,0.4653366727083612
"31,8",2021-10-28,Montréal Canadiens,0,San Jose Sharks,0,0,0,0,1524.338485276843,1449.8109709182972,0.5726384013259689,0.4273615986740311
"32,0",2021-10-29,Florida Panthers,0,Detroit Red Wings,0,0,0,0,1545.9482247731423,1452.5229031169015,0.5983003496643636,0.40169965033563637
"32,1",2021-10-29,Columbus Blue Jackets,0,New York Rangers,0,0,0,0,1442.0952561020642,1498.72892578367,0.38621186235548455,0.6137881376445155
"32,2",2021-10-29,Arizona Coyotes,0,Washington Capitals,0,0,1,0,1470.147049144132,1536.1204106113955,0.273181600447008,0.726818399552992
"32,3",2021-10-29,Chicago Blackhawks,0,Carolina Hurricanes,0,0,0,1,1471.1529819944997,1534.974071024255,0.47617335786699166,0.5238266421330083
"32,4",2021-10-29,Anaheim Ducks,0,Vegas Golden Knights,0,0,1,0,1442.9768930537132,1559.7569702625942,0.20499541259306917,0.7950045874069308
"32,5",2021-10-29,Ottawa Senators,0,Dallas Stars,0,0,0,0,1486.7316160132636,1473.3941648592456,0.48618471214454295,0.513815287855457
"33,0",2021-10-30,New York Islanders,0,Nashville Predators,0,0,0,0,1541.52762789748,1525.5450930589127,0.48998450608054855,0.5100154939194514
"33,1",2021-10-30,Montréal Canadiens,0,Los Angeles Kings,0,0,0,0,1524.338485276843,1452.730493774311,0.5686173734922105,0.43138262650778947
"33,2",2021-10-30,Florida Panthers,0,Boston Bruins,0,0,1,0,1545.9482247731423,1536.007565604796,0.38130185613275525,0.6186981438672448
"33,3",2021-10-30,Detroit Red Wings,0,Toronto Maple Leafs,0,0,1,0,1452.5229031169015,1521.7383346071497,0.2686881531549138,0.7313118468450862
"33,4",2021-10-30,New Jersey Devils,0,Pittsburgh Penguins,0,0,0,0,1448.378720253926,1540.7279677509364,0.3371426247532592,0.6628573752467408
"33,5",2021-10-30,Winnipeg Jets,0,San Jose Sharks,0,0,0,0,1500.0379988005302,1449.8109709182972,0.5387831326675516,0.4612168673324484
"33,6",2021-10-30,Chicago Blackhawks,0,St. Louis Blues,0,0,1,0,1471.1529819944997,1485.2672940343534,0.34669903872126384,0.6533009612787362
"33,7",2021-10-30,Minnesota Wild,0,Colorado Avalanche,0,0,0,0,1541.9981702556054,1562.216140913711,0.4379367995960992,0.5620632004039008
"33,8",2021-10-30,Philadelphia Flyers,0,Calgary Flames,0,0,0,0,1471.1582078374126,1486.0150445429372,0.4456323155858434,0.5543676844141566
"33,9",2021-10-30,Edmonton Oilers,0,Vancouver Canucks,0,0,0,0,1524.6453623512457,1467.6595878991968,0.5482815473065834,0.4517184526934166
"34,0",2021-10-31,Arizona Coyotes,0,Carolina Hurricanes,0,0,0,0,1470.147049144132,1534.974071024255,0.3747742134604999,0.6252257865395001
"34,1",2021-10-31,Montréal Canadiens,0,Anaheim Ducks,0,0,1,0,1524.338485276843,1442.9768930537132,0.4819943268481144,0.5180056731518856
"34,2",2021-10-31,Buffalo Sabres,0,Los Angeles Kings,0,0,0,1,1440.654305177491,1452.730493774311,0.5496279628875239,0.4503720371124761
"34,3",2021-10-31,Columbus Blue Jackets,0,New Jersey Devils,0,0,0,1,1442.0952561020642,1448.378720253926,0.5579583539439963,0.4420416460560037
"34,4",2021-10-31,New York Rangers,0,Seattle Kraken,0,0,0,0,1498.72892578367,1500.0,0.4651707853217347,0.5348292146782653
"35,0",2021-11-01,Washington Capitals,0,Tampa Bay Lightning,0,0,0,0,1536.1204106113955,1563.1276521234515,0.42821154927016813,0.5717884507298319
"35,1",2021-11-01,Ottawa Senators,0,Chicago Blackhawks,0,0,0,0,1486.7316160132636,1471.1529819944997,0.48940444362879953,0.5105955563712005
"35,2",2021-11-01,Seattle Kraken,0,Edmonton Oilers,0,0,1,0,1500.0,1524.6453623512457,0.3315918413236625,0.6684081586763375
"36,0",2021-11-02,Vegas Golden Knights,0,Toronto Maple Leafs,0,0,0,0,1559.7569702625942,1521.7383346071497,0.5214958744539043,0.47850412554609567
"36,1",2021-11-02,Detroit Red Wings,0,Montréal Canadiens,0,0,0,0,1452.5229031169015,1524.338485276843,0.3650962538989243,0.6349037461010757
"36,2",2021-11-02,Arizona Coyotes,0,Philadelphia Flyers,0,0,0,0,1470.147049144132,1471.1582078374126,0.46554482977486655,0.5344551702251334
"36,3",2021-11-02,Ottawa Senators,0,Minnesota Wild,0,0,1,0,1486.7316160132636,1541.9981702556054,0.28812914503030096,0.711870854969699
"36,4",2021-11-02,Dallas Stars,0,Winnipeg Jets,0,0,0,0,1473.3941648592456,1500.0379988005302,0.4287314293809671,0.5712685706190329
"36,5",2021-11-02,Nashville Predators,0,Calgary Flames,0,0,0,0,1525.5450930589127,1486.0150445429372,0.5236441018767461,0.47635589812325385
"36,6",2021-11-02,New York Rangers,0,Vancouver Canucks,0,0,0,0,1498.72892578367,1467.6595878991968,0.5115935663545016,0.4884064336454984
"36,7",2021-11-02,New Jersey Devils,0,Anaheim Ducks,0,0,0,0,1448.378720253926,1442.9768930537132,0.4747732279074265,0.5252267720925735
"36,8",2021-11-02,Buffalo Sabres,0,San Jose Sharks,0,0,0,0,1440.654305177491,1449.8109709182972,0.453825548849879,0.546174451150121
"37,0",2021-11-03,Carolina Hurricanes,0,Chicago Blackhawks,0,0,0,0,1534.974071024255,1471.1529819944997,0.5578266421330083,0.44217335786699175
"37,1",2021-11-03,Nashville Predators,0,Edmonton Oilers,0,0,1,0,1525.5450930589127,1524.6453623512457,0.36829481367756434,0.6317051863224357
"37,2",2021-11-03,Columbus Blue Jackets,0,Colorado Avalanche,0,0,0,0,1442.0952561020642,1562.216140913711,0.30070583367306625,0.6992941663269338
"37,3",2021-11-03,St. Louis Blues,0,Los Angeles Kings,0,0,0,0,1485.2672940343534,1452.730493774311,0.5136878147502713,0.48631218524972875
"38,0",2021-11-04,Detroit Red Wings,0,Boston Bruins,0,0,0,0,1452.5229031169015,1536.007565604796,0.3491160382008639,0.6508839617991361
"38,1",2021-11-04,Tampa Bay Lightning,0,Toronto Maple Leafs,0,0,0,0,1563.1276521234515,1521.7383346071497,0.5262838389564617,0.4737161610435383
"38,2",2021-11-04,New York Islanders,0,Montréal Canadiens,0,0,0,0,1541.52762789748,1524.338485276843,0.4917170013370079,0.5082829986629921
"38,3",2021-11-04,Vegas Golden Knights,0,Ottawa Senators,0,0,0,0,1559.7569702625942,1486.7316160132636,0.5705712411374326,0.4294287588625674
"38,4",2021-11-04,Washington Capitals,0,Florida Panthers,0,0,0,0,1536.1204106113955,1545.9482247731423,0.45286040951904605,0.547139590480954
"38,5",2021-11-04,Philadelphia Flyers,0,Pittsburgh Penguins,0,0,0,0,1471.1582078374126,1540.7279677509364,0.3681980459509864,0.6318019540490136
"38,6",2021-11-04,Dallas Stars,0,Calgary Flames,0,0,0,0,1473.3941648592456,1486.0150445429372,0.44884507894039505,0.551154921059605
"38,7",2021-11-04,Buffalo Sabres,0,Seattle Kraken,0,0,0,0,1440.654305177491,1500.0,0.382415702463213,0.617584297536787
"38,8",2021-11-04,St. Louis Blues,0,San Jose Sharks,0,0,1,0,1485.2672940343534,1449.8109709182972,0.41784934943339036,0.5821506505666096
"39,0",2021-11-05,Chicago Blackhawks,0,Winnipeg Jets,0,0,0,0,1471.1529819944997,1500.0379988005302,0.4255266283971363,0.5744733716028637
"39,1",2021-11-05,New York Rangers,0,Edmonton Oilers,0,0,0,0,1498.72892578367,1524.6453623512457,0.42977227147479513,0.5702277285252049
"39,2",2021-11-05,Nashville Predators,0,Vancouver Canucks,0,0,0,0,1525.5450930589127,1467.6595878991968,0.5495416127945519,0.45045838720544806
"39,3",2021-11-05,Arizona Coyotes,0,Anaheim Ducks,0,0,0,0,1470.147049144132,1442.9768930537132,0.5060214841817173,0.49397851581828267
"39,4",2021-11-05,New Jersey Devils,0,Los Angeles Kings,0,0,0,0,1448.378720253926,1452.730493774311,0.4607376219669804,0.5392623780330196
"40,0",2021-11-06,Tampa Bay Lightning,0,Ottawa Senators,0,0,0,0,1563.1276521234515,1486.7316160132636,0.5752044477361201,0.4247955522638799
"40,1",2021-11-06,Carolina Hurricanes,0,Florida Panthers,0,0,0,0,1534.974071024255,1545.9482247731423,0.45121217330826635,0.5487878266917336
"40,2",2021-11-06,Detroit Red Wings,0,Buffalo Sabres,0,0,0,0,1452.5229031169015,1440.654305177491,0.4840736446154086,0.5159263553845914
"40,3",2021-11-06,Boston Bruins,0,Toronto Maple Leafs,0,0,0,0,1536.007565604796,1521.7383346071497,0.48752353600567155,0.5124764639943284
"40,4",2021-11-06,Vegas Golden Knights,0,Montréal Canadiens,0,0,0,0,1559.7569702625942,1524.338485276843,0.517795458581582,0.48220454141841795
"40,5",2021-11-06,Minnesota Wild,0,Pittsburgh Penguins,0,0,0,0,1541.9981702556054,1540.7279677509364,0.4688279602011216,0.5311720397988784
"40,6",2021-11-06,Philadelphia Flyers,0,Washington Capitals,0,0,0,0,1471.1582078374126,1536.1204106113955,0.374586304757653,0.625413695242347
"40,7",2021-11-06,Colorado Avalanche,0,Columbus Blue Jackets,0,0,0,0,1562.216140913711,1442.0952561020642,0.6332941663269338,0.3667058336730662
"40,8",2021-11-06,New York Islanders,0,Winnipeg Jets,0,0,0,1,1541.52762789748,1500.0379988005302,0.6264261645942832,0.37357383540571676
"40,9",2021-11-06,New York Rangers,0,Calgary Flames,0,0,1,0,1498.72892578367,1486.0150445429372,0.3852885833013109,0.6147114166986891
"40,10",2021-11-06,Seattle Kraken,0,Arizona Coyotes,0,0,0,1,1500.0,1470.147049144132,0.6098564336386687,0.3901435663613313
"40,11",2021-11-06,New Jersey Devils,0,San Jose Sharks,0,0,1,0,1448.378720253926,1449.8109709182972,0.36493883728236387,0.6350611627176361
"41,0",2021-11-07,Vegas Golden Knights,0,Detroit Red Wings,0,0,1,1,1559.7569702625942,1452.5229031169015,0.6166017029112881,0.38339829708871187
"41,1",2021-11-07,Nashville Predators,0,Chicago Blackhawks,0,0,0,0,1525.5450930589127,1471.1529819944997,0.5446432579901949,0.45535674200980514
"41,2",2021-11-07,New York Islanders,0,Minnesota Wild,0,0,1,1,1541.52762789748,1541.9981702556054,0.46632283552686915,0.5336771644731308
"41,3",2021-11-07,St. Louis Blues,0,Anaheim Ducks,0,0,0,0,1485.2672940343534,1442.9768930537132,0.5275619761174112,0.4724380238825888
"41,4",2021-11-07,Dallas Stars,0,Vancouver Canucks,0,0,0,0,1473.3941648592456,1467.6595878991968,0.4752519702927638,0.5247480297072362
"42,0",2021-11-08,Florida Panthers,0,New York Rangers,0,0,0,0,1545.9482247731423,1498.72892578367,0.5345387089888178,0.46546129101118217
"42,1",2021-11-08,Buffalo Sabres,0,Washington Capitals,0,0,0,0,1440.654305177491,1536.1204106113955,0.3329694967037562,0.6670305032962438
"42,2",2021-11-08,Los Angeles Kings,0,Toronto Maple Leafs,0,0,0,0,1452.730493774311,1521.7383346071497,0.3689753840159171,0.6310246159840829
"43,0",2021-11-09,Ottawa Senators,0,Boston Bruins,0,0,0,0,1486.7316160132636,1536.007565604796,0.39655789180210144,0.6034421081978986
